Wall time,Step,Value
1559000674.857858,8332,1.0
1559000674.91605,8334,1.0
1559000675.092754,8340,1.0
1559000675.9256861,8360,1.0
1559000676.013271,8363,1.0
1559000676.31288,8368,1.0
1559000676.592315,8377,1.0
1559000679.9520798,8467,1.0
1559000679.982421,8468,1.0
1559000680.0441039,8470,1.0
1559000681.039892,8498,1.0
1559000681.439081,8503,1.0
1559000681.588949,8508,1.0
1559000683.7943838,8566,1.0
1559000684.72281,8592,1.0
1559000685.243637,8601,1.0
1559000686.240795,8634,1.0
1559000686.271425,8635,1.0
1559000686.696749,8644,1.0
1559000688.099509,8682,1.0
1559000688.496116,8690,1.0
1559000688.637634,8695,1.0
1559000689.819547,8727,1.0
1559000691.6246321,8774,1.0
1559000691.741794,8778,1.0
1559000692.8114219,8801,1.0
1559000693.357823,8819,1.0
1559000693.447668,8822,1.0
1559000694.083251,8843,1.0
1559000694.7204359,8854,1.0
1559000695.441893,8878,1.0
1559000695.65427,8885,1.0
1559000696.4240608,8902,1.0
1559000696.4845362,8904,1.0
1559000696.7257972,8907,1.0
1559000697.341481,8928,1.0
1559000697.547173,8935,1.0
1559000698.483815,8958,1.0
1559000699.138728,8975,1.0
1559000699.669021,8993,1.0
1559000699.850879,8999,1.0
1559000700.402185,9009,1.0
1559000701.119411,9028,1.0
1559000702.189601,9055,1.0
1559000702.428812,9063,1.0
1559000703.219809,9084,1.0
1559000706.0168698,9155,1.0
1559000708.2553768,9216,1.0
1559000708.569083,9226,1.0
1559000708.7819982,9233,1.0
1559000710.001933,9260,1.0
1559000710.632344,9281,1.0
1559000711.8037288,9307,1.0
1559000712.068534,9316,1.0
1559000713.210834,9348,1.0
1559000714.101011,9369,1.0
1559000715.800891,9412,1.0
1559000715.894434,9415,1.0
1559000716.502163,9435,1.0
1559000716.714304,9442,1.0
1559000717.848768,9468,1.0
1559000720.345164,9538,1.0
1559000720.60976,9547,1.0
1559000721.0790458,9554,1.0
1559000721.6118789,9567,1.0
1559000722.2574651,9589,1.0
1559000722.580632,9600,1.0
1559000723.3160498,9611,1.0
1559000723.8022358,9627,1.0
1559000724.7916129,9651,1.0
1559000724.974221,9657,1.0
1559000725.817761,9680,1.0
1559000726.365938,9698,1.0
1559000728.8573499,9759,1.0
1559000729.1176488,9768,1.0
1559000730.820731,9812,1.0
1559000731.8221009,9840,1.0
1559000731.917245,9843,1.0
1559000733.376566,9883,1.0
1559000734.506186,9907,1.0
1559000736.90356,9972,1.0
1559000739.809119,10050,1.0
1559000740.2067251,10055,1.0
1559000740.2967281,10058,1.0
1559000740.720844,10072,1.0
1559000741.072233,10084,1.0
1559000742.104065,10107,1.0
1559000742.284283,10113,1.0
1559000742.7704809,10128,1.0
1559000743.265168,10144,1.0
1559000744.3167338,10168,1.0
1559000744.832493,10185,1.0
1559000747.0502532,10245,1.0
1559000747.6301901,10256,1.0
1559000748.375248,10276,1.0
1559000748.5809128,10283,1.0
1559000748.725832,10288,1.0
1559000752.723239,10396,1.0
1559000752.8151948,10399,1.0
1559000753.698959,10420,1.0
1559000753.848751,10425,1.0
