Wall time,Step,Value
1558952314.350754,13970,1.0
1558952314.7348192,13976,1.0
1558952316.160457,13996,1.0
1558952316.2868092,13998,1.0
1558952322.8536441,14080,1.0
1558952323.240633,14086,1.0
1558952329.224031,14161,1.0
1558952331.145308,14189,1.0
1558952333.658143,14221,1.0
1558952334.036622,14227,1.0
1558952335.571024,14250,1.0
1558952338.650699,14287,1.0
1558952338.712137,14288,1.0
1558952339.094302,14294,1.0
1558952340.1786711,14303,1.0
1558952341.396728,14320,1.0
1558952342.1692622,14332,1.0
1558952342.556772,14338,1.0
1558952344.447891,14358,1.0
1558952344.828585,14362,1.0
1558952346.3770602,14386,1.0
1558952347.216635,14397,1.0
1558952350.976156,14447,1.0
1558952353.08009,14471,1.0
1558952354.681035,14494,1.0
1558952357.6531131,14530,1.0
1558952359.744281,14554,1.0
1558952359.874055,14556,1.0
1558952359.937242,14557,1.0
1558952364.5476952,14617,1.0
1558952365.5112891,14632,1.0
1558952366.009917,14638,1.0
1558952368.508595,14668,1.0
1558952369.084609,14677,1.0
1558952369.338542,14681,1.0
1558952369.721631,14687,1.0
1558952371.295338,14703,1.0
1558952374.26074,14746,1.0
1558952375.5164402,14758,1.0
1558952377.005034,14779,1.0
1558952377.069105,14780,1.0
1558952377.32076,14784,1.0
1558952377.581581,14788,1.0
1558952377.8493178,14792,1.0
1558952379.565683,14809,1.0
1558952379.951228,14815,1.0
1558952380.20367,14819,1.0
1558952382.053289,14846,1.0
1558952384.280322,14873,1.0
1558952385.6208909,14892,1.0
1558952388.284235,14924,1.0
1558952388.351326,14925,1.0
1558952388.418976,14926,1.0
1558952390.1476989,14950,1.0
1558952395.7832232,15015,1.0
1558952396.5888069,15027,1.0
1558952401.39092,15090,1.0
1558952404.790616,15132,1.0
1558952405.0468411,15136,1.0
1558952408.61465,15180,1.0
1558952409.894001,15199,1.0
1558952413.1304152,15236,1.0
1558952415.602019,15266,1.0
1558952416.056412,15273,1.0
1558952416.808015,15283,1.0
1558952418.456949,15301,1.0
1558952420.0298529,15324,1.0
1558952421.248276,15341,1.0
1558952421.63376,15347,1.0
